Sr.No.,Name,Type,WaterRequirements,MinTemp,MaxTemp,CommonPlantDiseases,SoilType,Fertilisers,AreaRequired,Info,Images,Icons
148,Rubber Plant,Exotic,3.5 to 5 per week,20,35,Upas Fungus Disease,Silty soil,10-10-10 NPK water soluble fertilizer,3.5 sq ft,"India rubber plant, also called India rubber tree, once an important source of an inferior natural rubber. It was largely replaced as a source of rubber by the unrelated rubber tree in the early 20th century. We mainly know the rubber plant as the version with large and sturdy dark green leaves. But there are also varieties with variegated leaves. The rubber plant is a climber, so it doesn’t need much space. It does require a bit of overhead clearance though.",https://drive.google.com/file/d/1BTwXBaoW68RsmGohkhBaIyzO73hwa3GL/view?usp=sharing,https://drive.google.com/file/d/1Pd_EPHXOX489vFDdendBSrMNS93yYaTX/view?usp=sharing
149,Hawaiian Umbrella Tree Bonsai,Exotic,2 to 5 per week,18,22,Fungal Leaf Spots,Loamy soil,low nitrogen liquid Bonsai fertilizer,2 sq ft,"The Dwarf or Hawaiian Umbrella Tree is a tropical tree with compound leaves which is very suitable for indoor bonsai. It can live with dim light and low humidity. In nature it is an evergreen shrub with thin trunks without much ramification. A characteristic feature is the shape of the compound, radially arranged leaves which sit on long petioles.",https://drive.google.com/file/d/17FGAZS2Sli-wNwhINoq8rL5ljjcCW7dh/view?usp=sharing,https://drive.google.com/file/d/1saUnMQ-ovFLM6ncfP6Nb6iyoxRN2DXX0/view?usp=sharing
150,Grafted Ficus Bonsai,Exotic,1.5 to 3 per week,15,20,Root Rot,Clay soil,"Fish emulsion, Organic seaweed fertilizer",4 sq ft,"Ficus is one of the most loved bonsai for many reasons. It is an excellent tree for beginners, as most species of Ficus are fast growers, tolerant of most any soil and light conditions, make fine indoor bonsai, and perhaps most importantly, are remarkably forgiving of those just learning bonsai watering techniques. Ficus produces a unique ""fruit"" which is actually an inverted flower. Gensing Grafted Ficus trees embody strength, with grafted branches displaying full clusters of compact foliage and glossy, oval leaves.",https://drive.google.com/file/d/1LoiTK_287M-Ko2HiDJIdLnydrG-enlNo/view?usp=sharing,https://drive.google.com/file/d/1MAYcA2t-iubeY4kgr7yuFi-UTkjNyScQ/view?usp=sharing
151,Asparagus Fern,Exotic,2.36 to 4 per week,12,21,"Fusarium Wilt, Gray Mold",Sandy loam soil,10-10-10 NPK fertilizer,10 sq ft,"Asparagus fern is an evergreen perennial with upright or long, trailing branches covered with tiny, thin leaves, which give it a bushy, feathery, fluffy appearance. The plants can have small flowers or berries. The sunnier the spot, the faster asparagus fern will grow.",https://drive.google.com/file/d/1zdRLzkTH3swUjeHBgG_Dz6Z0jn5n0rEN/view?usp=sharing,https://drive.google.com/file/d/1gpuoJWkKT9oDHaZxQIIMMIlcZOau91wA/view?usp=sharing
152,Lemon Button Fern,Exotic,2.5 per week,12,15,Leaf Tip Burn ,Loamy soil,Nitrogen,5 sq ft,"If you’ve struggled to keep a fern alive indoors before, then the lemon button fern may just be the plant for you. This adorably compact fern is known for being resilient and less finicky than some of its relatives, and its small size makes it perfect for growing indoors. Plus the small leaves of the lemon button fern give off a faint lemony scent during the spring and summer months, making it a refreshing addition to any home.",https://drive.google.com/file/d/1m0eRpopZDE4grtatYNPg23cQ4AFJ9851/view?usp=sharing,https://drive.google.com/file/d/1MTpMDNbB7u7LZZQXxEOocTdXUgQbnZ7q/view?usp=sharing
153,Paddle Plant,Exotic,1 to 3 per week,15,29,Grey Mould,Sandy soil,light solution of a cactus or succulent fertilizer,4 sq ft,"Paddle plant also known as flapjack paddle plant, this succulent kalanchoe plant has thick, rounded, paddle-shaped leaves. The plant is also known as red pancake because the leaves frequently take on a reddish or deep pink tint during the winter. The fragrant flowers arecylindrical,  brilliant yellow, and appear from mid-summer to mid-winter.",https://drive.google.com/file/d/1DwOyTmiHMrIysp1KPoJB6Ooxw5d9xrAU/view?usp=sharing,https://drive.google.com/file/d/1SzPO6Q9Mvi2o0VeY5zk3WILpYFi4gXT0/view?usp=sharing
154,Dumb Cane,Exotic,2.36 per week,14,18,Marginal Leaf Burn,Loamy soil,20-20-20 NPK fertilizer,5 sq ft,"Dumb cane, commonly grown as a houseplant is prized for its attractive foliage and ability to tolerate low light intensities. Cultivated varieties typically have large simple leaves that are often variegated with other greens. Flowers are borne on a long spadix, with male flowers on top and female flowers below.",https://drive.google.com/file/d/1m91biiVv8oy3cg0-jx1dYSlWhuv769Do/view?usp=sharing,https://drive.google.com/file/d/1QGMG3HVie-KeTPhfDiEl91n1Pyfwife1/view?usp=sharing
155,Radiator Plant,Exotic,5 to 7 per week,18,27,Ring Spot,Sandy soil,"Fertilizer containing nitrogen, potassium, iron ",3 sq ft,"These are heat-loving plants native to tropical and subtropical regions. Radiator plants vary in appearance, though many have small, flat leaves, and thick stems. They're generally compact plantings, making them good choices for indoor gardening, hanging baskets, containers, and greenhouses.",https://drive.google.com/file/d/11qOG1iJWNf9R0DNrl_mJaWZywI_C9KCY/view?usp=sharing,https://drive.google.com/file/d/1mJYlTUI2K3KUpv06z7bPnFkguxRqnyRN/view?usp=sharing
156,Calathea,Exotic,2 to 6 per week,18,26,Botrytis Blight,Loamy soil,10-10-10 NPK fertilizer,2.5 sq ft,"Calathea plants are part of the family of plants known as Marantaceae, which is a species of flowering plants from tropical areas such as Africa. They are famous for their wide, green, colorful leaves.Low light plants have broad leaves to absorb and use as much light as they can get.",https://drive.google.com/file/d/1s9uwo7hLqvPBwydgLJ7MktqrBob8KEcH/view?usp=sharing,https://drive.google.com/file/d/10n0bOB-xiVAf1W47VlfKhi7tE0RAzNCJ/view?usp=sharing
157,Kalanchoe,Exotic,1 to 2 per week,15,18,Fusarium Stem Rot,"Loamy soil, Silty soil",Balanced fertilizer(20-20-20),4.5 sq ft,"Kalanchoe is a popular houseplant typically available for sale during late winter and spring months. It is a durable flowering potted plant requiring very little maintenance in the home or office. It has dark green, thick waxy leaves with scalloped-edges and small, four-petaled flowers in clusters held above the foliage. Kalanchoe will tolerate bright indoor light levels well.",https://drive.google.com/file/d/1BNMNoY79kQ9okRylfOyGRYMxbHJZB9Rx/view?usp=sharing,https://drive.google.com/file/d/1R8MW15GRMTkPBtupjWjBeXD-IlHOKz9E/view?usp=sharing
158,Pony Tail Palm,Exotic,2 to 5 per week,16,26,"Sooty Mold, Botrytis Blight",Loamy soil,10-10-10 slow release fertilizers,8 sq ft,"Equipped with a massive bulbous trunk for storing water, ponytail palm tolerates long stretches of dry conditions. This desert native is slow-growing, ranging in size from less than a foot tall to more than 6 feet when grown indoors. It makes an easy-to-grow, eye-catching houseplant that is perfect for tabletops, nightstands, and coffee tables.",https://drive.google.com/file/d/1KfazJVb5VAuBuPWF5W2-SHSP2mst7oCr/view?usp=sharing,https://drive.google.com/file/d/1DUh7NQa1PgqaAVTr2WKnUcfa7U8N_R2Q/view?usp=sharing
